Time–Die Zeit_Die Zeiten
Dad–Der Vater_Die Väter
Case–Der Fall_Die Fälle
Piece–Das Stück_Die Stücke
Doctor–Der Doktor_Die Doktoren
Edge–Die Ecke_Die Kanten
Mom–Die Mama_Die Mütter
Picture–Das Bild_Die Bilder
Sense–Der Sinn_Die Sinne
Ear–Das Ohr_Die Ohren
Second–Der Zweite_Die Sekunden
Lady–Die Dame_Die Damen
Neck–Der Hals_Die Hälse
Wind–Der Wind_Die Winde
Desk–Der Schreibtisch_Die Schreibtische
Gun–Die Waffe_Die Waffen
Stone–Der Stein_Die Steine
Coffee–Der Kaffee_Die Kaffee
Ship–Das Schiff_Die Schiffe
Earth–Die Erde_Die Erden
Food–Das Essen_Die Lebensmittel
Horse–Das Pferd_Die Pferde
Field–Das Feld_Die Felder
War–Der Krieg_Die Kriege
Afternoon–Der Nachmittag_Die Nachmittage
Sir–Die Sir_Die Damen Und Herren
Space–Der Raum_Die Räume
Evening–Der Abend_Die Abende
Letter–Der Brief_Die Briefe
Bar–Die Bar_Die Bars
Dream–Der Traum_Die Träume
Apartment–Die Wohnung_Die Wohnungen
Chest–Die Brust_Die Truhen
Game–Das Spiel_Die Spiele
Summer–Der Sommer_Die Sommer
Matter–Der Grund_Die Angelegenheiten
Silence–Die Stille_Die Stille
Top–Die Spitze_Die Spitzen
Rock–Der Fels_Die Steine
Power–Die Macht_Die Befugnisse
Clothes–Die Kleider_Die Clotheses
Sign–Das Schild_Die Zeichen
Attention–Die Aufmerksamkeit_Die Aufmerksamkeit
Music–Die Musik_Die Musiken
State–Der Staat_Die Staaten
Pocket–Die Tasche_Die Taschen
Dinner–Das Abendessen_Die Abendessen
Hall–Die Halle_Die Hallen
Pain–Der Schmerz_Die Schmerzen
Age–Das Alter_Das Alter
River–Der Fluss_Die Flüsse
Chance–Die Chance_Die Chancen
Nose–Die Nase_Die Nasen
Shadow–Der Schatten_Die Schatten
Police–Die Polizei_Die Politiken
Memory–Das Gedächtnis_Die Erinnerungen
Color–Die Farbe_Die Farben
Knee–Das Knie_Die Knie
Wood–Das Holz_Der Wald
Shirt–Das Hemd_Die Hemden
Party–Die Party_Die Parteien
Country–Das Land_Die Länder
Truck–Der Lkw_Die Lastwagen
Tooth–Der Zahn_Die Tooths
Bill–Die Rechnung_Die Rechnungen
Scene–Die Szene_Szenen
Land–Das Land_Die Ländereien
Star–Der Stern_Die Sterne
Bird–Der Vogel_Die Vögel
Bedroom–Das Schlafzimmer_Die Schlafzimmer
Uncle–Der Onkel_Die Onkel
Sort–Die Art_Die Sorten
Group–Die Gruppe_Die Gruppen
Truth–Die Wahrheit_Die Wahrheiten
Trouble–Die Schwierigkeiten_Die Probleme
Crowd–Die Menge_Die Menschenmengen
Station–Der Bahnhof_Die Stationen
Tear–Die Reiß_Die Tränen
Class–Die Klasse_Die Klassen
Sea–Das Meer_Die Meere
Animal–Das Tier_Die Tiere
Center–Das Zentrum_Die Zentren
Feeling–Das Gefühl_Die Gefühle
Store–Das Geschäft_Die Läden
Mountain–Der Berg_Die Berge
News–Die Nachrichten_Die Newses
Shoe–Der Schuh_Die Schuhe
Cat–Die Katze_Die Katzen
Screen–Der Bildschirm_Die Schirme
Bottle–Die Flasche_Die Flaschen
Call–Der Anruf_Die Anrufe
Living–Die Lebenden_Die Livings
Cheek–Die Wange_Die Wangen
Student–Der Schüler_Die Studenten
Ball–Der Ball_Die Bälle
Sight–Die Sehenswürdigkeit_Die Sehenswürdigkeiten
Hill–Der Hügel_Die Hügel
Company–Das Unternehmen_Die Betriebe
Church–Die Kirche_Die Kirchen
Rain–Der Regen_Die Regenzeit
Suit–Der Anzug_Die Anzüge
One–Der Eine_Die Einen
Direction–Die Richtung_Die Richtungen
Will–Der Wille_Die Testamente
Throat–Der Hals_Die Kehlen
Middle–Die Mitte_Die Middles
Answer–Die Antwort_Die Antworten
Stuff–Das Zeug_Die Stoffe
Hospital–Das Krankenhaus_Die Krankenhäuser
Camera–Die Kamera_Die Kameras
Dress–Das Kleid_Die Kleider
Card–Die Karte_Die Karten
Yard–Der Hof_Die Werften
Dark–Die Dunkelheit_Die Dunkelheiten
Shit–Die Scheiße_Die Scheiße
Image–Das Bild_Die Bilder
Machine–Die Maschine_Die Maschinen
Distance–Die Distanz_Die Abstände
Area–Das Gebiet_Die Bereiche
Narrator–Der Erzähler_Die Erzähler
Ice–Das Eis_Die Ices
Snow–Der Schnee_Der Schnee
Note–Die Notiz_Die Notizen
Mirror–Der Spiegel_Die Spiegel
King–Der König_Die Könige
Fear–Die Angst_Die Ängste
Officer–Der Offizier_Die Offiziere
Hole–Das Loch_Die Löcher
Shot–Der Schuss_Die Schüsse
Guard–Der Wächter_Die Wachen
Conversation–Die Unterhaltung_Die Gespräche
Boat–Das Boot_Die Boote
System–Das System_Die Systeme
Care–Die Pflege_Die Sorgen
Bit–Die Bit_Die Bits
Movie–Der Film_Kino
Bone–Der Knochen_Die Knochen
Page–Die Seite_Die Seiten
Captain–Der Kapitän_Die Kapitäne
Aunt–Die Tante_Die Tanten
Darkness–Dunkelheit_Die Dunkelheiten
Control–Die Kontrolle_Die Steuerelemente
Drink–Das Getränk_Die Getränke
Hotel–Das Hotel_Die Hotels
Coat–Der Mantel_Die Mäntel
Stair–Die Treppen_Die Treppe
Order–Die Bestellung_Die Aufträge
Rose–Die Rose_Die Rosen
Miss–Der Fehl_Die Fehlschüsse
Hat–Der Hut_Die Hüte
Gold–Das Gold_Die Goldmedaillen
Cigarette–Die Zigarette_Die Zigaretten
Cloud–Die Wolke_Die Wolken
View–Die Aussicht_Die Ansichten
Driver–Der Fahrer_Die Fahrer
Cup–Die Tasse_Die Tassen
Figure–Die Figur_Die Figuren
Expression–Der Ausdruck_Die Ausdrücke
Path–Der Pfad_Die Wege
Key–Der Schlüssel_Die Schlüssel
Computer–Der Computer_Die Computer
Flower–Die Blume_Die Blumen
Ring–Der Ring_Die Ringe
Bathroom–Das Bad_Die Badezimmer
Metal–Das Metall_Die Metalle
Moon–Der Mond_Die Monde
Song–Das Lied_Die Lieder
Soldier–Der Soldat_Die Soldaten
Radio–Das Radio_Die Funkgeräte
History–Die Geschichte_Die Geschichten
Wave–Die Welle_Die Wellen
Plan–Der Plan_Die Pläne
College–Das College_Die Fachhochschulen
Fish–Der Fisch_Die Fische
Garden–Der Garten_Die Gärten
Train–Der Zug_Die Züge
Shop–Das Geschäft_Die Läden
Cop–Der Polizist_Die Polizisten
Art–Die Kunst_Die Künste
Beer–Das Bier_Die Biere
North–Norden_Die Norths
Island–Die Insel_Die Inseln
Bus–Der Bus_Die Busse
Smell–Der Geruch_Die Gerüche
Noise–Das Geräusch_Die Geräusche
Mama–Die Mama_The Mamas
Park–Der Park_Die Parks
South–Der Süden_Die Souths
Pair–Das Paar_Die Paare
Lord–Der Herr_Die Herren
Plate–Der Teller_Die Platten
Jacket–Die Jacke_Die Jacken
Help–Die Hilfe_Die Hilft
Daddy–Der Papa_Die Väter
Grass–Das Gras_Die Gräser
Thanks–Die Dank_Die Thankses
Heat–Die Hitze_Die Heats
Sleep–Der Schlaf_Die Schlafplätze
Brain–Das Gehirn_Die Gehirne
Service–Der Service_Der Dienstleistungen
Trip–Die Reise_Die Ausflüge
Beat–Der Beat_Die Beats
Knife–Das Messer_Die Messer
Spot–Der Platz_Die Flecken
Message–Die Nachricht_Die Nachrichten
Mark–Die Note_Die Noten
Teacher–Der Lehrer_Die Lehrer
Gaze–Der Blick_Die Blicke
Village–Das Dorf_Die Dörfer
Winter–Der Winter_Die Winter
Front–Die Front_Die Fronten
Law–Das Gesetz_Die Gesetze
Surface–Die Oberfläche_Die Oberflächen
Bank–Die Bank_Die Banken
Team–Das Team_Die Teams
Maximum–Das Maximum_Die Maxima
Position–Die Position_Die Positionen
Stomach–Der Bauch_Die Mägen
Turn–Die Wende_Die Windungen
West–Der Westen_Die Wests
Lunch–Das Mittagessen_Die Mittagessen
Change–Der Wechsel_Die Veränderungen
Creature–Die Kreatur_Geschöpfe
Soul–Die Seele_Die Seelen
Leaf–Das Blatt_Die Blätter
Show–Die Show_Die Shows
Gate–Die Gate_Die Tore
Palm–Die Palme_Die Handflächen
Plastic–Der Kunststoff_Die Kunststoff
Force–Die Kraft_Die Kräfte
Beach–Der Strand_Die Strände
President–Der Präsident_Die Präsidenten
Shape–Die Form_Die Formen
Smoke–Der Rauch_Die Raucht
Wheel–Das Rad_Die Räder
Silver–Das Silber_Die Silber
Roof–Das Dach_Die Dächer
Weight–Das Gewicht_Die Gewichte
Tongue–Die Zunge_Die Zungen
Tea–Der Tee_Die Tees
Track–Die Strecke_Die Spuren
Angle–Der Winkel_Die Winkel
Form–Die Form_Formen
Tone–Der Ton_Die Töne
Circle–Der Kreis_Die Kreise
Spring–Der Frühling_Die Federn
Porch–Die Vorhalle_Die Veranden
Sheet–Das Blatt_Die Blätter
Member–Das Mitglied_Die Angehörigen
Pool–Das Schwimmbecken_Die Pools
Need–Das Bedürfnis_Die Bedürfnisse
Hope–Die Hoffnung_Die Hoffnungen
Lake–Der See_Die Seen
Breast–Die Brust_Die Brüste
Surprise–Die Überraschung_Die Überraschungen
Interest–Die Interesse_Die Interessen
Bottom–Der Boden_Die Böden
Spirit–Der Geist_Die Geister
Block–Der Block_Die Blöcke
Language–Die Sprache_Die Sprachen
Bridge–Die Brücke_Die Brücken
Dust–Staub_Die Stäube
Cell–Die Zelle_Die Zellen
Wine–Wein_Die Weine
Boot–Das Boot_Die Stiefel
Choice–Die Wahl_Die Entscheidungen
Row–Die Reihe_Die Reihen
Talk–Das Gespräch_Die Gespräche
Plane–Das Flugzeug_Die Flugzeuge
Watch–Die Uhr_Die Uhren
Information–Die Information_Die Informationen
Grandmother–Die Großmutter_Die Großmütter
Wing–Der Flügel_Die Flügel
Bob–Die Bob_Die Bobs
Club–Der Club_Die Vereine
Master–Der Meister_Die Meister
Grace–Die Gnade_Die Gnaden
Forest–Der Wald_Die Wälder
Size–Die Größe_Die Größen
Set–Der Satz_Die Sätze
Marriage–Die Ehe_Die Ehen
Forehead–Die Stirn_Die Stirn
Storm–Sturm_Die Stürme
Doorway–Die Türöffnung_Die Türen
Situation–Die Situation_Die Situationen
Counter–Der Zähler_Die Zähler
Neighbor–Der Nachbar_Die Nachbarn
Photo–Das Foto_Die Fotos
Stage–Die Bühne_Die Stufen
Meeting–Das Treffen_Die Sitzungen
Nurse–Die Krankenschwester_Die Krankenschwestern
Security–Die Sicherheit_Die Wertpapiere
Weapon–Die Waffe_Waffen
Event–Das Ereignis_Die Events
Ceiling–Die Decke_Die Decken
Engine–Der Motor_Die Motoren
Gift–Das Geschenk_Die Geschenke
Restaurant–Das Restaurant_Die Restaurants
Board–Die Tafel_Die Bretter
Hallway–Der Flur_Die Flure
Army–Die Armee_Die Armeen
Effort–Der Aufwand_Bemühungen
East–Der Osten_Die Easts
Agent–Der Agent_Die Mittel
Future–Die Zukunft_Die Futures
Pant–Die Hose_Die Hose
Leather–Das Leder_Die Leder
Flight–Der Flug_Die Flüge
Sex–Das Geschlecht_Die Sexs
Court–Das Gericht_Die Gerichte
Course–Der Kurs_Die Kurse
Dirt–Der Dreck_Die Dirts
Egg–Das Ei_Die Eier
Chin–Das Kinn_Die Kinne
Stranger–Der Fremde_Die Fremden
Pleasure–Die Freude_Die Freuden
Detail–Das Detail_Die Details
Crew–Die Besatzung_Die Besatzungen
Fall–Der Herbst_Die Wasserfälle
Guest–Der Gast_Die Gäste
Experience–Das Erlebnis_Erfahrungen
Joke–Der Witz_Die Witze
Sand–Der Sand_Der Sand
Fist–Die Faust_Die Fäuste
Action–Die Aktion_Die Aktionen
Walk–Das Wandern_Die Wanderungen
Wedding–Die Hochzeit_Die Hochzeiten
Deal–Der Deal_Die Angebote
Nature–Die Natur_Die Natur
Planet–Der Planet_Die Planeten
Cousin–Der Cousin_Die Cousinen
Movement–Die Bewegung_Die Bewegungen
Flesh–Das Fleisch_Die Konkretisiert
Record–Der Datensatz_Datensätze
Camp–Das Camp_Die Lager
Newspaper–Die Zeitung_Die Zeitung
Ray–Der Strahl_Die Strahlen
Human–Der Mensch_Die Menschen
Couch–Das Sofa_Die Liegen
Motion–Die Bewegung_Die Bewegungen
Grandfather–Der Großvater_Die Großväter
Photograph–Die Fotografie_Die Photographes
Secret–Das Geheimnis_Geheimnisse
Beauty–Die Schönheit_Die Schönheiten
Presence–Das Vorhandensein_Die Präsenzen
Bell–Die Glocke_Die Glocken
Folk–Die Volks_Die Leute
Button–Der Knopf_Die Knöpfe
List–Die Liste_Die Listen
Level–Das Level_Die Niveaus
Date–Das Datum_Die Daten
Subject–Das Thema_Die Fächer
Difference–Der Unterschied_Die Unterschiede
Pause–Die Pause_Die Pausen
Van–Der Van_Die Wagen
Blade–Die Klinge_Die Klingen
Television–Das Fernsehen_Die Fernseher
Cover–Die Titelseite_Die Abdeckungen
Past–Die Vergangenheit_Die Vergangenheit
Farm–Der Bauernhof_Die Bauernhöfe
Lap–Die Runden_Die Runden
Band–Die Band_Die Bands
Lawyer–Der Anwalt_Die Anwälte
Magazine–Das Magazin_Die Zeitschriften
Branch–Der Ast_Die Zweige
Frame–Der Rahmen_Die Rahmen
Deck–Das Deck_Die Decks
Effect–Der Effekt_Die Effekte
Dance–Der Tanz_Die Tänze
Vision–Die Sicht_Die Visionen
Ghost–Das Gespenst_Die Geister
Ass–Der Esel_Die Esel
Character–Der Charakter_Die Charaktere
Glance–Der Blick_Die Blicke
GoodBye–Das Auf Wiedersehen_Die Verabschiedungen
Parking–Das Park_Die Parkplätze
Breakfast–Das Frühstück_Das Frühstück
Gesture–Die Geste_Die Gesten
Luck–Das Glück_Die Lucks
Blanket–Die Decke_Die Decken
Gas–Das Gas_Die Gase
Corridor–Der Korridor_Die Flure
Professor–Der Professor_Die Professoren
Play–Das Spiel_Die Spiele
Mistake–Der Fehler_Die Fehler
University–Die Universität_Die Universitäten
Ocean–Der Ozean_Die Ozeane
Century–Das Jahrhundert_Die Jahrhunderte
Honey–Der Honig_Honige
Pile–Der Stapel_Die Pfähle
Bowl–Die Schale_Die Schalen
Base–Basis_Die Basen
Fence–Der Zaun_Die Zäune
Rule–Die Regel_Die Regeln
Laughter–Das Gelächter_Die Gelächter
Anger–Die Wut_Die Angers
Sweat–Der Schweiß_Die Schweißausbrüche
Accident–Der Unfall_Die Unfälle
Weather–Das Wetter_Die Wind Und Wetter
Decision–Die Entscheidung_Die Entscheidungen
Angel–Der Engel_Die Engel
Strength–Die Stärke_Die Stärken
Chicken–Das Huhn_Die Hühner
Study–Die Studium_Die Studien
Tape–Das Band_Die Bänder
Wrist–Das Handgelenk_Die Handgelenke
Stop–Der Halt_Die Anschläge
Hip–Die Hüfte_Die Hüften
Government–Die Regierung_Die Regierungen
Belly–Der Bauch_Die Bäuche
Queen–Die Königin_Die Königinnen
Report–Bericht_Die Berichte
Tail–Der Schweif_Die Schwänze
Plant–Die Pflanze_Die Pflanzen
Flame–Die Flamme_Die Flammen
Heaven–Der Himmel_Die Himmel
Belt–Der Gürtel_Die Gürtel
Neighborhood–Die Nachbarschaft_Die Nachbarschaften
Energy–Die Energie_Die Energien
Green–Das Grün_Die Grünen
Quarter–Das Viertel_Die Viertel
Enemy–Der Feind_Die Feinde
Move–Die Bewegung_Die Züge
Entrance–Der Eingang_Die Zugänge
Library–Die Bibliothek_Die Bibliotheken
Writer–Der Verfasser_Die Autoren
Peace–Der Frieden_Die Peaces
Touch–Die Berührung_Die Berührungen
Pot–Der Topf_Die Töpfe
Type–Der Typ_Die Typen
Cause–Der Grund_Die Gründe
Rope–Das Seil_Die Seile
Muscle–Der Muskel_Die Muskeln
Painting–Das Gemälde_Die Gemälde
Curtain–Die Gardine_Die Vorhänge
Meal–Die Mahlzeit_Die Essen
Act–Der Akt_Die Handlungen
Wolf–Der Wolf_Die Wölfe
Cabin–Die Kajüte_Die Kabinen
Charge–Die Ladung_Die Ladungen
Clock–Die Uhr_Die Uhren
Passenger–Der Passagier_Die Passagiere
Buddy–Der Kumpel_Die Freunde
Drug–Das Medikament_Die Arzneimittel
Use–Die Verwendung_Die Verwendungen
Bench–Die Bank_Die Bänke
Traffic–Der Verkehr_Die Verkehre
Relief–Das Relief_Die Reliefs
Cap–Die Kappe_Die Kappen
Pack–Das Rudel_Die Packungen
Weekend–Das Wochenende_Die Wochenenden
Stand–Der Stand_Die Stände
Elevator–Der Aufzug_Die Aufzüge
Birthday–Der Geburtstag_Die Geburtstage
Lily–Die Lilie_Die Lilien
Iron–Das Bügeleisen_Die Eisen
Meat–Das Fleisch_Das Fleisch
Eyebrow–Die Augenbraue_Die Augenbrauen
Response–Die Antwort_Die Antworten
Speed–Die Geschwindigkeit_Die Geschwindigkeiten
Purpose–Die Absicht_Die Zwecke
Skirt–Der Rock_Die Röcke
Square–Das Quadrat_Die Quadrate
Drive–Die Fahrt_Die Antriebe
Article–Den Artikel_Die Artikel
English–Das Englisch_Die Englishes
Tower–Der Turm_Die Türme
Battle–Der Kampf_Die Schlachten
Film–Der Film_Die Filme
Race–Das Rennen_Die Rennen
Shock–Der Schock_Die Schocks
Section–Die Sektion_Die Abschnitte
Manner–Die Methode_Die Sitten
Sword–Das Schwert_Die Schwerter
Stick–Der Stock_Die Stöcke
File–Die Datei_Die Dateien
Bread–Das Brot_Die Brote
Oil–Das Öl_Die Öle
Chain–Die Kette_Die Ketten
Department–Die Abteilung_Die Abteilungen
Project–Projekt_Die Projekte
Murder–Der Mord_Die Morde
Bear–Der Bär_Die Bären
Test–Der Test_Die Tests
Visit–Der Besuch_Die Besuche
Milk–Die Milch_Die Milch
Boss–Der Chef_Die Bosse
Elbow–Der Ellbogen_Die Ellbogen
Desire–Das Verlangen_Die Wünsche
Patient–Der Patient_Die Patienten
Grin–Das Grinsen_Die Grins
Lover–Der Liebhaber_Die Liebhaber
Price–Der Preis_Die Preise
Map–Die Karte_Die Karten
Knowledge–Das Wissen_Die Erkenntnisse
Beginning–Der Anfang_Die Anfänge
Cold–Die Kälte_Die Erkältung
Closet–Der Schrank_Die Schränke
Dawn–Die Morgendämmerung_Im Morgengrauen
Temple–Der Tempel_Die Tempel
Joy–Der Spaß_Die Freuden
Duty–Die Pflicht_Die Aufgaben
Practice–Die Übung_Die Praktiken
Heel–Die Ferse_Die Fersen
Valley–Das Tal_Die Täler
Fight–Der Kampf_Die Kämpfe
Wire–Das Kabel_Die Drähte
Jeans–Die Jeans_Die Jeanses
Kiss–Der Kuss_Die Küsse
Jaw–Der Kiefer_Die Backen
Run–Die Lauf_Die Läufe
Hold–Der Halt_Die Laderäume
Relationship–Das Verhältnis_Die Beziehungen
Object–Das Objekt_Die Objekte
Attack–Der Angriff_Die Angriffe
Dish–Das Gericht_Das Geschirr
Highway–Die Autobahn_Die Autobahnen
Shade–Die Schattierung_Die Schatten
Crime–Das Verbrechen_Die Verbrechen
White–Das Weiß_Die Weißen
Partner–Der Partner_Die Partner
Priest–Der Priester_Die Priester
Lawn–Der Rasen_Der Rasen
Laugh–Das Lachen_Die Lachen
Trunk–Der Kofferraum_Die Stämme
Cry–Das Weinen_Die Schreie
Program–Das Programm_Die Programme
Ride–Die Fahrt_Die Fahrten
Shelf–Das Regal_Die Regale
Gentleman–Der Gentleman_The Gentlemans
Being–Das Sein_Die Wesen
Steel–Der Stahl_Die Stähle
Sidewalk–Der Bürgersteig_Die Bürgersteige
Uniform–Die Uniform_Die Uniformen
Pattern–Das Muster_Die Muster
Evidence–Der Beweis_Die Beweise
Player–Der Spieler_Die Spieler
Novel–Der Roman_Die Romane
Pillow–Das Kissen_Die Kissen
Lamp–Die Lampe_Die Lampen
Drawer–Die Schublade_Die Schubladen
Danger–Die Gefahr_Die Gefahren
Detective–Der Detektiv_Die Detektive
Instant–Die Instant_Die Zeitpunkte
Thinking–Das Denken_Die Gedanken
Crack–Der Riss_Die Risse
Prayer–Das Gebet_Die Gebete
Towel–Das Handtuch_Die Handtücher
Glove–Der Handschuh_Die Handschuhe
Bay–Die Bucht_Die Buchten
Audience–Das Publikum_Das Publikum
Can–Die Dose_Die Dosen
Condition–Die Bedingung_Die Bedingungen
Trail–Der Pfad_Die Wanderwege
Waist–Die Taille_Die Taille
Pressure–Der Druck_Die Drücke
Telephone–Das Telefon_Die Telefone
Sink–Das Waschbecken_Die Waschbecken
Return–Die Rückkehr_Die Renditen
Breeze–Die Brise_Die Lüfte
Taste–Der Geschmack_Die Geschmäcker
Fault–Der Fehler_Die Fehler
Stream–Der Strom_Bäche
Result–Das Ergebnis_Die Ergebnisse
Author–Der Autor_Die Autoren
Tip–Das Trinkgeld_Die Spitzen
Shower–Die Dusche_Die Duschen
Toe–Die Zehe_Die Zehen
Season–Die Jahreszeit_Die Jahreszeiten
Half–Die Hälfte_Die Hälften
Fool–Der Dummkopf_Die Narren
Tunnel–Der Tunnel_Die Tunnel
Client–Der Klient_Die Clients
Garage–Die Garage_Die Garagen
Mission–Die Mission_Die Missionen
Chief–Der Chef_Die Häuptlinge
Bullet–Die Kugel_Die Kugeln
Market–Der Markt_Die Märkte
Loss–Der Verlust_Die Verluste
Series–Die Reihe_Die Serieses
Pen–Der Stift_Die Stifte
Term–Der Begriff_Die Begriffe
Poem–Das Gedicht_Die Gedichte
Prince–Der Prinz_Die Fürsten
Clay–Der Ton_Die Tone
Lock–Das Schloss_Die Schlösser
Reality–Die Realität_Die Wirklichkeiten
Snake–Die Schlange_Die Schlangen
Apple–Der Apfel_Die Äpfel
Mask–Die Maske_Die Masken
Customer–Dem Kunden_Die Kunden
Birth–Die Geburt_Die Geburten
Break–Die Pause_Die Pausen
Wonder–Das Wunder_Wunder
Sunlight–Das Sonnenlicht_Die Sunlights
Tank–Der Panzer_Die Tanks
Staff–Das Personal_Die Mitarbeiter
Lie–Die Lüge_Die Lügen
Faith–Der Glaube_Die Glaubensrichtungen
Honor–Die Ehre_Ehrungen
Cream–Die Creme_Die Cremes
Sake–Das Wohl_Die Willen
Victim–Das Opfer_Die Opfer
Possibility–Die Möglichkeit_Die Möglichkeiten
Contact–Der Kontakt_Die Kontakte
Mood–Die Stimmung_Die Stimmungen
Thumb–Der Daumen_Die Daumen
Reading–Das Lesen_Die Messwerte
Fun–Der Spaß_Die Funs
Candle–Die Kerze_Die Kerzen
Cave–Die Höhle_Die Höhlen
Post–Die Post_Die Pfosten
Prison–Das Gefängnis_Die Gefängnisse
Emotion–Die Emotion_Die Emotionen
Leader–Der Führer_Die Führer
Degree–Der Grad_Grade
Feature–Die Eigenschaft_Die Funktionen
Ticket–Das Ticket_Die Tickets
Alien–Das Alien_Die Aliens
Lesson–Der Unterricht_Die Stunden
Desert–Die Wüste_Die Wüsten
Cut–Der Schnitt_Die Schnitte
Mess–Die Unordnung_Die Kasinos
Warning–Die Warnung_Die Warnungen
Tale–Das Märchen_Die Geschichten
Funeral–Das Begräbnis_Die Beerdigungen
Cab–Das Taxi_Die Kabinen
Reporter–Der Reporter_Die Reporter
Present–Das Geschenk_Die Geschenke
Theater–Das Theater_Die Theater
Length–Die Länge_Die Längen
Mud–Der Schlamm_Die Schlämme
Science–Die Wissenschaft_Die Wissenschaften
Drop–Der Fall_Die Tropfen
String–Die Schnur_Die Streicher
Speech–Die Rede_Die Reden
Copy–Die Kopie_Die Kopien
Cow–Die Kuh_Die Kühe
Worker–Der Arbeiter_Die Arbeiter
Thigh–Der Oberschenkel_Die Thighes
Lab–Das Labor_Die Labore
Roll–Die Rolle_Die Walzen
Fruit–Das Obst_Die Früchte
Patch–Der Patch_Die Patches
Silk–Die Seide_Die Seide
Buck–Der Buck_Die Böcke
